Pair,Deviation,Heartbeat,Dec,Proxy,Enabled
1INCH / ETH,2%,24h,18,0x72AFAECF99C9d9C8215fF44C77B94B99C28741e8,N
1INCH / USD,1%,24h,8,0xc929ad75B72593967DE83E7F7Cda0493458261D9,N
AAPL / USD,0.5%,24h,8,0x139C8512Cde1778e9b9a8e721ce1aEbd4dD43587,N
AAVE / ETH,2%,24h,18,0x6Df09E975c830ECae5bd4eD9d90f3A95a4f88012,N
AAVE / USD,1%,1h,8,0x547a514d5e3769680Ce22B2361c10Ea13619e8a9,N
ADA / USD,1%,24h,8,0xAE48c91dF1fE419994FFDa27da09D5aC69c30f55,N
ADX / USD,2%,24h,8,0x231e764B44b2C1b7Ca171fa8021A24ed520Cde10,N
AKRO / USD,2%,24h,8,0xB23D105dF4958B4b81757e12f2151B5b5183520B,N
ALPHA / ETH,2%,24h,18,0x89c7926c7c15fD5BFDB1edcFf7E7fC8283B578F6,N
AMP / USD,1%,24h,8,0x8797ABc4641dE76342b8acE9C63e3301DC35e3d8,N
AMPL / ETH,2%,24h,18,0x492575FDD11a0fCf2C6C719867890a7648d526eB,N
AMPL / USD,200%,24h,18,0xe20CA8D7546932360e37E9D72c1a47334af57706,N
AMZN / USD,0.5%,24h,8,0x8994115d287207144236c13Be5E2bDbf6357D9Fd,N
ANKR / USD,2%,24h,8,0x7eed379bf00005CfeD29feD4009669dE9Bcc21ce,N
ANT / ETH,2%,24h,18,0x8f83670260F8f7708143b836a2a6F11eF0aBac01,N
APY TVL,2%,24h,8,0xDb299D394817D8e7bBe297E84AFfF7106CF92F5f,N
AUCTION / USD,2%,24h,8,0xA6BCac72431A4178f07d016E1D912F56E6D989Ec,N
AUD / USD,0.3%,24h,8,0x77F9710E7d0A19669A13c055F62cd80d313dF022,N
AUTO / USD,2%,24h,8,0x21c44778293E43afC0F318aC051Ef867c3bDB5ee,N
AVAX / USD,2%,24h,8,0xFF3EEb22B5E3dE6e705b44749C2559d704923FD7,N
BADGER / ETH,2%,24h,18,0x58921Ac140522867bf50b9E009599Da0CA4A2379,N
